,Target,Score,Interaction,Expression
AC009236.2,False,,False,0.05755395683453238
AC009237.11,False,,False,0.01079136690647482
AC009237.16,False,,False,0.05755395683453238
AC009237.2,False,,False,0.0035971223021582736
AC009237.8,False,,True,0.4748201438848921
AC009238.8,False,,False,0.09712230215827339
AC009245.3,False,,False,39.78417266187051
AC009263.2,False,,True,0.02158273381294964
AC009264.1,False,,False,0.1474820143884892
AC009299.2,False,,False,0.4856115107913669
AC009299.5,False,,False,1.3741007194244603
AC009302.2,False,,False,1.4964028776978417
AC009303.1,False,,False,0.017985611510791366
AC009303.2,False,,True,0.22302158273381295
AC009305.1,False,,False,0.007194244604316547
AC009312.1,False,,False,0.19784172661870503
AC009362.2,False,,False,4.697841726618705
AC009365.4,False,,False,0.0035971223021582736
AC009403.2,False,,True,1.4136690647482015
AC009404.2,False,,False,0.6438848920863309
AC009411.1,False,,False,0.0035971223021582736
AC009413.2,False,,False,0.39568345323741005
AC009414.1,False,,False,0.01079136690647482
AC009473.1,False,,False,0.0035971223021582736
AC009474.1,False,,False,0.039568345323741004
AC009474.2,False,,False,0.1510791366906475
AC009480.3,False,,False,0.007194244604316547
AC009480.4,False,,False,0.017985611510791366
AC009487.5,False,,False,0.02158273381294964
AC009487.6,False,,False,4.68705035971223
AC009491.2,False,,False,0.0035971223021582736
AC009494.3,False,,False,0.01079136690647482
AC009495.1,False,,False,0.0035971223021582736
AC009495.3,False,,False,0.0035971223021582736
AC009501.4,False,,False,0.17985611510791366
AC009502.1,False,,False,0.0035971223021582736
AC009502.4,False,,False,0.025179856115107913
AC009505.2,False,,False,0.0683453237410072
AC009506.1,False,,False,0.19784172661870503
AC009508.1,False,,False,0.0035971223021582736
AC009517.2,False,,False,0.01079136690647482
AC009518.4,False,,False,0.0035971223021582736
AC009518.8,False,,False,0.0035971223021582736
AC009531.2,False,,False,0.0035971223021582736
AC009541.1,False,,False,0.0035971223021582736
AC009542.2,False,,False,0.007194244604316547
AC009784.3,False,,True,0.02158273381294964
AC009784.4,False,,False,0.0035971223021582736
AC009892.2,False,,False,0.017985611510791366
AC009945.4,False,,True,0.16906474820143885
AC009947.5,False,,False,0.014388489208633094
AC009948.5,False,,False,2.633093525179856
AC009948.7,False,,False,3.79136690647482
AC009950.2,False,,False,0.007194244604316547
AC009960.5,False,,False,0.04316546762589928
AC009960.7,False,,False,0.02158273381294964
AC009961.2,False,,False,0.1366906474820144
AC009961.3,False,,False,0.5899280575539568
AC009963.4,False,,False,0.05755395683453238
AC009963.5,False,,False,0.11510791366906475
AC009963.6,False,,False,0.2949640287769784
AC009965.1,False,,False,0.0035971223021582736
AC009967.3,False,,False,0.0035971223021582736
AC010082.2,False,,False,0.0035971223021582736
AC010091.1,False,,False,0.0035971223021582736
AC010092.1,False,,False,0.007194244604316547
AC010095.6,False,,False,0.007194244604316547
AC010095.7,False,,True,0.017985611510791366
AC010096.1,False,,False,0.01079136690647482
AC010103.1,False,,False,0.0035971223021582736
AC010127.3,False,,False,0.18345323741007194
AC010136.2,False,,False,0.050359712230215826
AC010141.1,False,,False,0.0035971223021582736
AC010146.1,False,,False,0.12949640287769784
AC010150.1,False,,False,0.10431654676258993
AC010184.1,False,,False,0.01079136690647482
AC010226.4,False,,False,0.1906474820143885
AC010240.2,False,,False,0.039568345323741004
