ensembl_gene_id	external_gene_name	gene_biotype
ENSMUSG00000053600	Zfp472	protein_coding
ENSMUSG00000024501	Dpysl3	protein_coding
ENSMUSG00000031831	Dnaaf1	protein_coding
ENSMUSG00000081378	Rps13-ps4	processed_pseudogene
ENSMUSG00000100528	Gm28881	lincRNA
ENSMUSG00000020891	Alox8	protein_coding
ENSMUSG00000085772	D630024D03Rik	lincRNA
ENSMUSG00000104159	Gm38099	TEC
ENSMUSG00000061589	Dot1l	protein_coding
ENSMUSG00000078097	Gm10913	processed_pseudogene
ENSMUSG00000075558	Gm17151	antisense
ENSMUSG00000060956	Gm10092	unprocessed_pseudogene
ENSMUSG00000051124	Gimap9	protein_coding
ENSMUSG00000023004	Tuba1b	protein_coding
ENSMUSG00000023021	Cers5	protein_coding
ENSMUSG00000024295	Cyp4f41-ps	unprocessed_pseudogene
ENSMUSG00000053297	AI854703	lincRNA
ENSMUSG00000103635	Gm38061	TEC
ENSMUSG00000067768	Xlr4b	protein_coding
ENSMUSG00000085932	Gm15556	lincRNA
ENSMUSG00000100789	Gm29508	antisense
ENSMUSG00000081816	Gm15528	processed_pseudogene
ENSMUSG00000057098	Ebf1	protein_coding
ENSMUSG00000031832	Taf1c	protein_coding
ENSMUSG00000009828	Ick	protein_coding
ENSMUSG00000096753	Fam181a	protein_coding
ENSMUSG00000022829	Stxbp5l	protein_coding
ENSMUSG00000073125	Xlr3b	protein_coding
ENSMUSG00000021589	Rhobtb3	protein_coding
ENSMUSG00000028403	Zdhhc21	protein_coding
ENSMUSG00000105151	RP23-191N23.1	lincRNA
ENSMUSG00000060311	Mucl1	unprocessed_pseudogene
ENSMUSG00000040746	Rnf167	protein_coding
ENSMUSG00000014158	Trpv4	protein_coding
ENSMUSG00000105597	RP24-404P10.6	TEC
ENSMUSG00000028127	Abcd3	protein_coding
ENSMUSG00000030265	Kras	protein_coding
ENSMUSG00000041966	Dcaf17	protein_coding
ENSMUSG00000029386	Tctn2	processed_transcript
ENSMUSG00000083195	Gm13567	processed_pseudogene
ENSMUSG00000075267	Dfnb59	protein_coding
ENSMUSG00000084115	Gm13566	processed_pseudogene
ENSMUSG00000056128	Gm9991	lincRNA
ENSMUSG00000079363	Gbp4	protein_coding
