,MIR199A1_All_d3_c95_status
ATXN7L1,OPTIMAL
AUTS2,OPTIMAL
AVEN,OPTIMAL
AVPI1,OPTIMAL
AXIN2,OPTIMAL
B3GALNT2,OPTIMAL
B3GLCT,OPTIMAL
B4GAT1,OPTIMAL
BAHD1,OPTIMAL
BAK1,OPTIMAL
BANP,OPTIMAL
BARD1,OPTIMAL
BATF3,OPTIMAL
BAZ2B,OPTIMAL
BBS9,OPTIMAL
BCAR3,OPTIMAL
BCL2L2,OPTIMAL
BCL7C,OPTIMAL
BCL9,OPTIMAL
BDH2,INFEASIBLE
BEND6,OPTIMAL
BEX1,OPTIMAL
BGN,INFEASIBLE
BHMT2,OPTIMAL
BIN3,OPTIMAL
BLOC1S4,OPTIMAL
BLOC1S5,OPTIMAL
BMP1,OPTIMAL
BMPR1A,OPTIMAL
BOC,OPTIMAL
BOK,OPTIMAL
BORA,OPTIMAL
BRAF,OPTIMAL
BRD3,OPTIMAL
BRF1,OPTIMAL
BRI3BP,OPTIMAL
BRIP1,OPTIMAL
BTBD2,OPTIMAL
BTBD3,OPTIMAL
BTBD7,OPTIMAL
BTG3,OPTIMAL
BUD13,OPTIMAL
C11orf54,OPTIMAL
C16orf87,OPTIMAL
C17orf67,INFEASIBLE
C17orf75,OPTIMAL
C18orf21,OPTIMAL
C1orf159,OPTIMAL
C1orf216,OPTIMAL
C1orf53,OPTIMAL
C1S,INFEASIBLE
C21orf91,OPTIMAL
C2CD2L,OPTIMAL
C2orf74,INFEASIBLE
C3orf70,OPTIMAL
C4orf36,OPTIMAL
C4orf46,OPTIMAL
C5orf63,OPTIMAL
C6orf120,OPTIMAL
C6orf136,OPTIMAL
C8orf76,OPTIMAL
CA13,OPTIMAL
CAAP1,OPTIMAL
CAB39L,OPTIMAL
CABLES2,OPTIMAL
CABYR,OPTIMAL
CACFD1,INFEASIBLE
CACNA1C,OPTIMAL
CACTIN,OPTIMAL
CAP2,OPTIMAL
CAPN10,INFEASIBLE
CARD16,OPTIMAL
CARD9,OPTIMAL
CARS2,OPTIMAL
CASD1,OPTIMAL
CASP2,OPTIMAL
CASP9,OPTIMAL
CAT,OPTIMAL
CBFA2T2,OPTIMAL
CBY1,OPTIMAL
CC2D1A,OPTIMAL
CC2D2A,OPTIMAL
CCAR2,OPTIMAL
CCBE1,OPTIMAL
CCDC117,OPTIMAL
CCDC125,OPTIMAL
CCDC134,OPTIMAL
CCDC14,OPTIMAL
CCDC150,OPTIMAL
CCDC171,OPTIMAL
CCDC186,OPTIMAL
CCDC22,OPTIMAL
CCDC43,OPTIMAL
CCDC8,OPTIMAL
CCDC9,OPTIMAL
CCDC97,OPTIMAL
CCHCR1,OPTIMAL
CCM2,OPTIMAL
CCNE1,OPTIMAL
CCNL1,OPTIMAL
CCPG1,OPTIMAL
CCS,OPTIMAL
CD274,OPTIMAL
CD2AP,OPTIMAL
CD2BP2,OPTIMAL
CD320,OPTIMAL
CD58,OPTIMAL
CDADC1,OPTIMAL
CDC14B,OPTIMAL
CDC37,OPTIMAL
CDC37L1,OPTIMAL
CDC42SE2,OPTIMAL
CDC45,OPTIMAL
CDC7,OPTIMAL
CDCA3,OPTIMAL
CDCA4,OPTIMAL
CDCP1,OPTIMAL
CDHR3,OPTIMAL
CDIP1,INFEASIBLE
CDK1,OPTIMAL
CDK15,OPTIMAL
CDK17,OPTIMAL
CDK19,OPTIMAL
CDK5RAP1,OPTIMAL
CDK5RAP3,OPTIMAL
CDKN2B,OPTIMAL
CDKN2D,OPTIMAL
CDR2L,OPTIMAL
CDYL2,OPTIMAL
CEBPD,OPTIMAL
CELF1,OPTIMAL
CENPI,OPTIMAL
CENPM,OPTIMAL
CENPQ,OPTIMAL
CENPT,OPTIMAL
CENPV,OPTIMAL
CEP112,OPTIMAL
CEP120,OPTIMAL
CEP131,OPTIMAL
CEP164,OPTIMAL
CEP250,OPTIMAL
CEP295,OPTIMAL
CEP76,OPTIMAL
CEP83,OPTIMAL
CERS6,OPTIMAL
CFAP36,OPTIMAL
CFD,INFEASIBLE
CFH,OPTIMAL
CGRRF1,OPTIMAL
CHAC2,OPTIMAL
CHAF1A,OPTIMAL
CHCHD10,OPTIMAL
CHCHD6,OPTIMAL
CHD1L,OPTIMAL
CHERP,OPTIMAL
CHMP1B,OPTIMAL
CHPF,INFEASIBLE
CHST11,OPTIMAL
CHST2,OPTIMAL
CHST3,OPTIMAL
CIB1,OPTIMAL
CIC,OPTIMAL
CITED4,OPTIMAL
CLASP1,OPTIMAL
CLCC1,OPTIMAL
CLCF1,OPTIMAL
CLCN3,OPTIMAL
CLCN5,OPTIMAL
CLCN6,OPTIMAL
CLDN12,OPTIMAL
CLEC16A,OPTIMAL
CLINT1,OPTIMAL
CLN6,OPTIMAL
CLN8,OPTIMAL
CLU,OPTIMAL
CLUAP1,OPTIMAL
CMIP,OPTIMAL
CMTM3,OPTIMAL
CMTM6,OPTIMAL
CMTM7,OPTIMAL
CMTM8,OPTIMAL
CNNM4,OPTIMAL
