,counts_d4_c95_status,counts_d4_c95_correlation,counts_d4_c50_status,counts_d4_c50_correlation,counts_d4_c25_status,counts_d4_c25_correlation
ADAMTS2,OPTIMAL,0.3144746304402708,OPTIMAL,0.018101330725891776,OPTIMAL,0.041419510567815405
ADAMTS4,OPTIMAL,-0.1119865147576897,OPTIMAL,-0.06324187681204194,OPTIMAL,-0.03773870349973804
ADAMTS6,CUT_LIMIT,,OPTIMAL,-0.002012223759528304,OPTIMAL,-0.0003414680668659058
ADAMTSL1,OPTIMAL,-0.054287992544344243,OPTIMAL,-0.05059723472379646,OPTIMAL,-0.058878293578448336
ADAR,OPTIMAL,-0.7255856060164803,OPTIMAL,-0.18014581418072304,OPTIMAL,-0.14765259844538559
ADARB1,OPTIMAL,-0.34772857925688794,OPTIMAL,-0.06635251624774781,OPTIMAL,-0.09337610985084056
ADAT1,OPTIMAL,-0.12549541542374248,OPTIMAL,-0.05876697445328497,CUT_LIMIT,
ADAT2,OPTIMAL,-0.02676312625557206,OPTIMAL,-0.014156684233863532,OPTIMAL,-0.022851090774879436
ADCK2,OPTIMAL,-0.07240997067563375,OPTIMAL,-0.08526357937786114,OPTIMAL,-0.05889347590264915
ADCK5,OPTIMAL,-1.0000009130694223,OPTIMAL,-0.03842736039575556,INFEASIBLE,
ADCY3,OPTIMAL,-0.11917913012826511,OPTIMAL,-0.06570566727339751,OPTIMAL,-0.06967548886769906
ADCY7,OPTIMAL,-0.08241865572005994,OPTIMAL,-0.040834307510251015,OPTIMAL,-0.048589471635985114
ADCY9,OPTIMAL,-0.11597887909531855,CUT_LIMIT,,OPTIMAL,-0.0816159099172597
ADD1,CUT_LIMIT,,OPTIMAL,0.01174354021369943,OPTIMAL,-0.05000310014841905
ADD3,OPTIMAL,-0.025481493582531996,OPTIMAL,-0.014581792813357808,OPTIMAL,-0.03290732865828281
ADGRA2,OPTIMAL,-0.41318344854033956,OPTIMAL,0.3462093023988558,OPTIMAL,0.12728014987789613
ADGRA3,OPTIMAL,-0.12265753438053387,OPTIMAL,-0.08206274874025087,OPTIMAL,-0.09303098941288476
