,counts_d3_c95_status,counts_d3_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
ANXA2R,OPTIMAL,-0.11971862158819607,OPTIMAL,-0.1017465871838243
ANXA3,OPTIMAL,-0.2179166415392965,OPTIMAL,-0.13309882571811046
ANXA4,OPTIMAL,8.352464314035393e-08,INFEASIBLE,
ANXA5,INFEASIBLE,,INFEASIBLE,
ANXA6,INFEASIBLE,,INFEASIBLE,
ANXA7,INFEASIBLE,,INFEASIBLE,
AOX1,INFEASIBLE,,INFEASIBLE,
AP1AR,OPTIMAL,-0.33425453586840403,INFEASIBLE,
AP1B1,INFEASIBLE,,INFEASIBLE,
AP1G1,INFEASIBLE,,INFEASIBLE,
AP1M1,INFEASIBLE,,INFEASIBLE,
AP1S1,INFEASIBLE,,INFEASIBLE,
AP1S2,INFEASIBLE,,INFEASIBLE,
AP2A1,INFEASIBLE,,INFEASIBLE,
AP2A2,INFEASIBLE,,INFEASIBLE,
AP2B1,INFEASIBLE,,INFEASIBLE,
AP2M1,INFEASIBLE,,INFEASIBLE,
AP2S1,INFEASIBLE,,INFEASIBLE,
AP3B1,INFEASIBLE,,INFEASIBLE,
AP3D1,INFEASIBLE,,INFEASIBLE,
AP3M1,INFEASIBLE,,INFEASIBLE,
AP3M2,INFEASIBLE,,INFEASIBLE,
AP3S1,INFEASIBLE,,INFEASIBLE,
AP3S2,OPTIMAL,-0.3001604287870856,INFEASIBLE,
AP4B1,OPTIMAL,-0.1817624645118506,INFEASIBLE,
AP4E1,INFEASIBLE,,INFEASIBLE,
AP4M1,OPTIMAL,-0.2358302425281985,INFEASIBLE,
AP5B1,OPTIMAL,-0.1356085936319686,INFEASIBLE,
AP5M1,OPTIMAL,-0.21617318408414607,INFEASIBLE,
AP5S1,INFEASIBLE,,INFEASIBLE,
AP5Z1,OPTIMAL,-0.19592645629292194,INFEASIBLE,
APAF1,OPTIMAL,-0.19651828509256508,INFEASIBLE,
APBA1,OPTIMAL,-0.22986901238718122,OPTIMAL,-0.1322744995454644
APBA3,OPTIMAL,-0.3157635098606747,INFEASIBLE,
APBB1,OPTIMAL,8.29843189252958e-08,INFEASIBLE,
APBB2,INFEASIBLE,,INFEASIBLE,
APC,INFEASIBLE,,INFEASIBLE,
APCDD1,INFEASIBLE,,INFEASIBLE,
APEH,INFEASIBLE,,INFEASIBLE,
APEX1,INFEASIBLE,,INFEASIBLE,
APEX2,INFEASIBLE,,INFEASIBLE,
APH1A,INFEASIBLE,,INFEASIBLE,
APH1B,OPTIMAL,-0.37207504504707695,INFEASIBLE,
API5,INFEASIBLE,,INFEASIBLE,
APIP,OPTIMAL,-0.08891695253913737,OPTIMAL,-0.008024012239971973
APLP2,INFEASIBLE,,INFEASIBLE,
APMAP,INFEASIBLE,,INFEASIBLE,
APOBEC3A,OPTIMAL,-0.2666482256841208,OPTIMAL,-0.1737475505274058
APOBEC3B,OPTIMAL,7.041418876944009e-08,INFEASIBLE,
APOBEC3C,INFEASIBLE,,INFEASIBLE,
APOBEC3D,OPTIMAL,-0.2589260184201511,OPTIMAL,-0.13295346770149716
APOBEC3G,OPTIMAL,-0.22389968294260573,OPTIMAL,-0.13693937951397883
APOD,INFEASIBLE,,INFEASIBLE,
APOL2,INFEASIBLE,,INFEASIBLE,
APOL6,OPTIMAL,-0.05454489299553438,INFEASIBLE,
APOLD1,INFEASIBLE,,INFEASIBLE,
APOO,OPTIMAL,-0.2649266344355803,INFEASIBLE,
APOOL,OPTIMAL,6.106293967115137e-08,INFEASIBLE,
APP,INFEASIBLE,,INFEASIBLE,
APPBP2,INFEASIBLE,,INFEASIBLE,
APPL1,INFEASIBLE,,INFEASIBLE,
APPL2,INFEASIBLE,,INFEASIBLE,
APRT,INFEASIBLE,,INFEASIBLE,
APTX,INFEASIBLE,,INFEASIBLE,
AQP1,INFEASIBLE,,INFEASIBLE,
AQR,INFEASIBLE,,INFEASIBLE,
AR,OPTIMAL,-0.4342910567790586,INFEASIBLE,
ARAF,OPTIMAL,-0.2231131009998514,INFEASIBLE,
ARAP1,OPTIMAL,-0.37668613325112793,INFEASIBLE,
ARAP3,OPTIMAL,-0.33792402268045346,INFEASIBLE,
ARCN1,INFEASIBLE,,INFEASIBLE,
AREL1,OPTIMAL,6.780089567879749e-08,INFEASIBLE,
ARF1,INFEASIBLE,,INFEASIBLE,
ARF3,INFEASIBLE,,INFEASIBLE,
ARF4,INFEASIBLE,,INFEASIBLE,
ARF5,INFEASIBLE,,INFEASIBLE,
ARF6,INFEASIBLE,,INFEASIBLE,
ARFGAP1,INFEASIBLE,,INFEASIBLE,
ARFGAP2,INFEASIBLE,,INFEASIBLE,
ARFGAP3,INFEASIBLE,,INFEASIBLE,
ARFGEF1,INFEASIBLE,,INFEASIBLE,
ARFGEF2,OPTIMAL,9.501108117073655e-06,INFEASIBLE,
ARFIP1,INFEASIBLE,,INFEASIBLE,
ARFIP2,INFEASIBLE,,INFEASIBLE,
ARFRP1,INFEASIBLE,,INFEASIBLE,
ARGLU1,INFEASIBLE,,INFEASIBLE,
ARHGAP1,INFEASIBLE,,INFEASIBLE,
ARHGAP10,INFEASIBLE,,INFEASIBLE,
ARHGAP11A,INFEASIBLE,,INFEASIBLE,
ARHGAP11B,INFEASIBLE,,INFEASIBLE,
ARHGAP12,INFEASIBLE,,INFEASIBLE,
