,counts_d3_c95_status,counts_d3_c95_correlation,counts_d4_c95_status,counts_d4_c95_correlation,counts_d3_c50_status,counts_d3_c50_correlation
ADO,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADORA2B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADPGK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADRA1B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADRB1,OPTIMAL,-0.1259452889525815,INFEASIBLE,,INFEASIBLE,
ADRB2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADRM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ADSL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEBP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AEN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFAP1L1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFF4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFG3L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AFMID,OPTIMAL,-0.0295761588797272,INFEASIBLE,,INFEASIBLE,
AFTPH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGAP3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGAP6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGBL5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGFG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGFG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGGF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGL,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGO4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPAT5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGPS,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGTPBP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AGTRAP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHCTF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHCY,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHCYL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHDC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHI1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHNAK,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHNAK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHRR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AHSA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIDA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIFM1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIFM2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIMP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIMP2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AJUBA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK1,OPTIMAL,-0.396633980540036,INFEASIBLE,,INFEASIBLE,
AK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK4,OPTIMAL,-0.4569568184089727,INFEASIBLE,,INFEASIBLE,
AK5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AK6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP17A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP8L,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKAP9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIP1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIRIN1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKIRIN2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKNA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1C3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR1E2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKR7A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT1S1,OPTIMAL,1.1834296398667941e-09,INFEASIBLE,,INFEASIBLE,
AKT2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AKT3,OPTIMAL,-0.2410667847810014,INFEASIBLE,,INFEASIBLE,
AKTIP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALAD,OPTIMAL,-0.2546215651699945,INFEASIBLE,,INFEASIBLE,
ALAS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALCAM,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH16A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH18A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH1L2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH3A2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH3B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH6A1,OPTIMAL,-0.2383056757275465,OPTIMAL,-0.5205593759576381,INFEASIBLE,
ALDH7A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDH9A1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALDOA,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG14,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALG9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALKBH8,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALMS1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALPK1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALPK2,OPTIMAL,-0.207147788625967,OPTIMAL,-0.4318031906897724,INFEASIBLE,
ALS2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ALYREF,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMBRA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMDHD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMFR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMMECR1,OPTIMAL,8.799992847408673e-08,INFEASIBLE,,INFEASIBLE,
AMMECR1L,OPTIMAL,-0.2677299051507386,INFEASIBLE,,INFEASIBLE,
AMOT,OPTIMAL,-0.047131679644021,INFEASIBLE,,INFEASIBLE,
AMOTL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMOTL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMPD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMPD3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AMZ2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC13,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC15,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC2,OPTIMAL,-0.1538040182462759,OPTIMAL,-0.2463396804201069,INFEASIBLE,
ANAPC4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANAPC7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANGEL1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANGEL2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANGPTL4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANK2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKEF1,OPTIMAL,-0.101287824361706,OPTIMAL,-0.4956686943531832,INFEASIBLE,
ANKFY1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKH,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKHD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKIB1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKLE2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKMY2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD12,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD13D,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD16,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD17,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD26,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD27,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD28,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD34A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD35,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD36,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD36B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD36C,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD37,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD39,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD40,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD42,OPTIMAL,-0.1361280134566873,INFEASIBLE,,INFEASIBLE,
ANKRD46,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD49,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD50,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD52,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD54,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKRD9,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKS1A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKS3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKS6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANKZF1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANLN,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANO10,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANO3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANO6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32A,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32B,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANP32E,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANPEP,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANTXR1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANTXR2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA11,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA2R,OPTIMAL,-0.1019592610798705,OPTIMAL,-0.706412665660893,INFEASIBLE,
ANXA3,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA4,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA5,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA6,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
ANXA7,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AOX1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1AR,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1B1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1G1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1M1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1S1,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
AP1S2,INFEASIBLE,,INFEASIBLE,,INFEASIBLE,
