,outlier_rho,outlier_p1,outlier_p2,outlier_lb,outlier_ub,counts_rho,counts_p1,counts_p2,counts_lb,counts_ub,concentrations_rho,concentrations_p1,concentrations_p2,concentrations_lb,concentrations_ub,counts_c95_lb,counts_c95_ub,counts_c50_lb,counts_c50_ub,counts_c25_lb,counts_c25_ub
TICRR,-0.03720144328365478,0.26838949130861306,0.536778982617217,-0.08053051684442099,0.00606155233121974,-0.03913253337666193,0.2582989720859415,0.5165979441718831,-0.0788742464842179,0.016648397921747778,-0.07964276358821021,0.09314636140992218,0.18629272281984513,-0.10710604807344848,-0.04396805609750258,-0.08711606076044637,0.019554815533042027,-0.05953521697959175,-0.022683462859380273,-0.05525017652498074,-0.03466209329397052
TIFA,-0.009430002830471181,0.43780975973138997,0.8756195194627788,-0.05852751567336379,0.0642849326546237,-0.002010510751348645,0.48671357526976783,0.9734271505395374,-0.0685733163798063,0.0774710265987849,-0.0557802333269658,0.17751148765761351,0.355022975315231,-0.08304850350058107,-0.02456439953440073,-0.07070945964025134,0.05734674726972803,-0.044472044652167975,0.01505913863908754,-0.03754004689306935,0.001893283816554859
TIGAR,0.06415268985672597,0.8567696328605536,0.2864607342788919,-0.048440702756261576,0.3905640561474985,0.1368348737614447,0.988631113566223,0.0227377728675536,-0.051903535524617433,0.4009592572850852,-0.003298844496316719,0.4782064265682085,0.9564128531364176,-0.09234188970636498,0.11491164701013115,-0.04485655546460026,0.4345587847422366,0.04572943146275408,0.2161745197906722,0.09487343914074207,0.1746671365596548
TIGD2,-0.04046103108595954,0.25083777284486286,0.5016755456897212,-0.07132968166523615,-0.014752910398493939,-0.045585173120326956,0.22492935867582237,0.44985871735164373,-0.0794356918939343,-0.009813436073280262,-0.06278798643248747,0.1488675620061502,0.2977351240123055,-0.08557912310415954,-0.03049175891263464,-0.07965913351905878,-0.013416425889370285,-0.06008751623015254,-0.033688761541461144,-0.05435438432461849,-0.04252386407488058
TIGD5,-0.030927088434653527,0.30381582534344814,0.6076316506868958,-0.05671840345106689,-0.020120671005465034,-0.03510443655359713,0.28035353056623435,0.5607070611324682,-0.061334377589188194,-0.017413967042591967,-0.05393553922150371,0.18559190534485803,0.371183810689715,-0.07191616343434604,-0.03694287032750764,-0.05685369278542132,-0.015337950915026126,-0.045178851089385116,-0.029974214015238955,-0.042297239646466075,-0.034315406214539455
TIGD6,-0.016941457214910194,0.3892716041096038,0.7785432082192072,-0.034317279336976536,0.00705069130382043,-0.013199881504077998,0.4134395777873156,0.8268791555746201,-0.03642560800637361,0.02263000242689174,-0.0024210964284668186,0.4840015514138385,0.9680031028276775,-0.05026631055334895,0.05764509154683864,-0.04259245555173538,0.027284306753700603,-0.022120106388954452,-0.0023876386599331347,-0.017211667785791012,-0.007768393809509815
TIMELESS,0.767371913225159,1.0,3.3545612208313154e-55,-0.044682375724445604,0.9352293190598098,0.07204361867484102,0.88399092335648,0.23201815328703962,-0.06046291661564818,0.20728022746667923,-0.06010378198547457,0.15945406853886562,0.31890813707773,-0.12804445579370236,0.03192353139990469,-0.06343426933844758,0.24796048039964408,0.018395368497053477,0.10338113542059701,0.04093768678590817,0.09290392864049057
TIMM10,0.7636348655474032,1.0,2.2698923088838066e-54,-0.07803739107439825,0.9398037333214763,-0.006428538631722006,0.45758906549601613,0.915178130992032,-0.0918864846922306,0.1265759264818367,-0.04124057984597077,0.24712428630327818,0.4942485726065574,-0.13064078172630275,0.046804596209839344,-0.09587522151196526,0.17366153503864987,-0.04959966751935746,0.04063638603298811,-0.023262667080147896,0.011323058399700993
TIMM10B,-0.032730479328131626,0.2934227810047792,0.586845562009567,-0.06965676390046348,0.04399397182308414,-0.0203825736740848,0.36778156144795787,0.7355631228959139,-0.0738831346504278,0.05523870376838161,0.014467348328656877,0.5947218287603715,0.8105563424792566,-0.07959045393984623,0.16909558522442902,-0.06826516268572724,0.05959407964773702,-0.03990477178218331,0.00017883819343114275,-0.03069930458978233,-0.013007803399158172
TIMM13,0.786176642030556,1.0,1.2525354201886511e-59,-0.017185017915707233,0.9470929776927356,0.11195255498184373,0.9686059834059724,0.06278803318805565,-0.01497098903387955,0.2259925883849322,-0.022147683843369306,0.3568135839962852,0.7136271679925713,-0.13200597464579988,0.09416890230885878,-0.03367763139990134,0.20947605181968118,0.07164022890058004,0.14388782737839687,0.0870573418711854,0.12284366754065908
